county,tract,intptlat,intptlon
11,20202,26.242847,-80.210258
11,20204,26.263195,-80.227768
11,20205,26.265371,-80.21637
11,20206,26.257338,-80.212379
11,20207,26.248421,-80.226944
11,20208,26.236685,-80.225067
11,20302,26.282881,-80.238472
11,20305,26.264832,-80.241562
11,20308,26.277943,-80.229355
11,20309,26.279943,-80.213478
11,20310,26.280184,-80.281464
11,20311,26.279886,-80.258514
11,20312,26.262226,-80.292068
11,20313,26.265541,-80.274315
11,20314,26.26535,-80.258125
11,20315,26.251781,-80.242462
11,20316,26.241871,-80.243851
11,20317,26.234249,-80.244118
11,20318,26.243664,-80.289108
11,20319,26.250137,-80.272171
11,20320,26.249121,-80.258606
11,20321,26.234787,-80.274841
11,20322,26.23774,-80.260712
11,20404,26.215052,-80.212692
11,20405,26.204819,-80.212128
11,20406,26.219215,-80.246643
11,20407,26.223846,-80.230316
11,20408,26.213865,-80.2313
11,20409,26.21957,-80.291458
11,20410,26.219254,-80.279678
11,20411,26.217926,-80.262764
11,20501,26.226336,-80.21431
11,20502,26.220413,-80.195518
11,30100,26.268599,-80.090637
11,30200,26.255335,-80.109741
11,30301,26.271362,-80.131645
11,30302,26.263391,-80.122269
11,30401,26.252249,-80.13224
11,30402,26.238615,-80.132965
11,30500,26.255255,-80.14727
11,30600,26.253151,-80.158012
11,30702,26.238596,-80.178879
11,30703,26.266861,-80.177399
11,30704,26.255768,-80.175766
11,30705,26.247473,-80.173454
11,30801,26.220308,-80.137199
11,30802,26.219807,-80.162704
11,30901,26.219257,-80.121605
11,30902,26.216291,-80.10746
11,31000,26.231318,-80.107651
11,31100,26.248373,-80.095886
11,31201,26.239737,-80.087929
11,31202,26.219799,-80.090767
11,40100,26.193588,-80.095848
11,40201,26.199137,-80.106071
11,40202,26.203053,-80.119835
11,40300,26.191769,-80.121529
11,40400,26.178452,-80.112999
11,40501,26.174381,-80.097855
11,40502,26.148119,-80.101395
11,40600,26.151184,-80.112167
11,40700,26.14533,-80.124672
11,40801,26.147741,-80.149887
11,40802,26.147291,-80.137703
11,40901,26.149805,-80.162994
11,40902,26.143946,-80.158173
11,41000,26.145559,-80.17672
11,41100,26.136683,-80.180862
11,41200,26.143381,-80.194763
11,41300,26.127867,-80.191895
11,41400,26.128164,-80.171257
11,41500,26.132626,-80.157196
11,41600,26.125809,-80.15435
11,41700,26.137531,-80.145325
11,41800,26.13291,-80.127106
11,41900,26.121815,-80.13063
11,42000,26.124479,-80.116524
11,42100,26.125286,-80.103699
11,42200,26.110031,-80.106018
11,42300,26.102234,-80.125443
11,42400,26.113689,-80.133255
11,42500,26.122244,-80.141243
11,42600,26.11446,-80.151955
11,42700,26.110176,-80.164124
11,42800,26.113871,-80.177902
11,42900,26.113916,-80.194
11,43000,26.096773,-80.193481
11,43100,26.09861,-80.178329
11,43200,26.088505,-80.162277
11,43300,26.094723,-80.148209
11,50100,26.202597,-80.14183
11,50202,26.191481,-80.176437
11,50203,26.214096,-80.176369
11,50204,26.205095,-80.179306
11,50301,26.172813,-80.195313
11,50303,26.165012,-80.215752
11,50305,26.182627,-80.207642
11,50306,26.167103,-80.20723
11,50307,26.161091,-80.195381
11,50308,26.154078,-80.194977
11,50400,26.172531,-80.169945
11,50500,26.188633,-80.142731
11,50600,26.175785,-80.127205
11,50701,26.17337,-80.152596
11,50702,26.174992,-80.139488
11,50800,26.161251,-80.175568
11,50900,26.161394,-80.147224
11,51000,26.157341,-80.131981
11,60105,26.199896,-80.241875
11,60106,26.204876,-80.228989
11,60107,26.196442,-80.214394
11,60108,26.182863,-80.247864
11,60109,26.188883,-80.223
11,60110,26.174463,-80.235748
11,60111,26.206972,-80.283592
11,60112,26.202162,-80.261406
11,60113,26.185919,-80.281639
11,60114,26.186413,-80.25988
11,60115,26.172848,-80.290031
11,60116,26.172049,-80.27726
11,60117,26.172308,-80.261124
11,60118,26.174885,-80.304718
11,60119,26.164846,-80.308998
11,60120,26.142118,-80.333328
11,60121,26.137043,-80.305847
11,60122,26.124102,-80.321678
11,60203,26.141233,-80.230705
11,60204,26.157055,-80.290527
11,60205,26.157219,-80.275482
11,60206,26.157127,-80.262466
11,60207,26.158932,-80.25045
11,60208,26.159101,-80.237015
11,60209,26.152035,-80.243713
11,60301,26.168545,-80.229294
11,60302,26.152901,-80.227783
11,60303,26.158001,-80.222977
11,60304,26.143671,-80.221855
11,60401,26.147091,-80.215729
11,60402,26.155861,-80.20787
11,60403,26.143707,-80.207451
11,60501,26.142826,-80.245895
11,60503,26.143028,-80.292046
