geo_id,c1mom_mean,c1mom_high,c2mom_mean,c2mom_high,c3mom_mean,c3mom_high,c4mom_mean,c4mom_high,c5mom_mean,c5mom_high
1400000US12009064128,,,,,,,,,,
1400000US12009064201,,,,,,,,,,
1400000US12009064301,,,,,,,,,,
1400000US12009064800,,,,,,,,,,
1400000US12009065022,,,,,,,,,,
1400000US12009065124,,,,,,,,,,
1400000US12009065235,,,,,,,,,,
1400000US12009066103,,,,,,,,,,
1400000US12009066600,,,,,,,,,,
1400000US12009066800,,,,,,,,,,
1400000US12009068400,,,,,,,,,,
1400000US12009069100,,,,,,,,,,
1400000US12009069700,,,,,,,,,,
1400000US12009071322,,,,,,,,,,
1400000US12009071335,,,,,,,,,,
1400000US12011100502,,,,,,,,,,
1400000US12009071400,,,,,,,,,,
1400000US12011010102,,,,,,,,,,
1400000US12011010304,,,,,,,,,,
1400000US12011010406,,,,,,,,,,
1400000US12011010603,,,,,,,,,,
1400000US12011010606,,,,,,,,,,
1400000US12011010611,,,,,,,,,,
1400000US12011010901,,,,,,,,,,
1400000US12011020104,,,,,,,,,,
1400000US12011020207,,,,,,,,,,
1400000US12011020311,,,,,,,,,,
1400000US12011020316,,,,,,,,,,
1400000US12011020320,,,,,,,,,,
1400000US12011020325,,,,,,,,,,
1400000US12011020405,,,,,,,,,,
1400000US12011020411,,,,,,,,,,
1400000US12011060603,,,,,,,,,,
1400000US12011060605,,,,,,,,,,
1400000US12011060606,,,,,,,,,,
1400000US12011060607,,,,,,,,,,
1400000US12057013317,,,,,,,,,,
1400000US12011060900,,,,,,,,,,
1400000US12011070205,,,,,,,,,,
1400000US12011070210,,,,,,,,,,
1400000US12011070311,,,,,,,,,,
1400000US12011070316,,,,,,,,,,
1400000US12011070322,,,,,,,,,,
1400000US12011070403,,,,,,,,,,
1400000US12011070601,,,,,,,,,,
1400000US12011080101,,,,,,,,,,
1400000US12011080405,,,,,,,,,,
1400000US12011090200,,,,,,,,,,
1400000US12011090404,,,,,,,,,,
1400000US12011090801,,,,,,,,,,
1400000US12011091100,,,,,,,,,,
1400000US12011091300,,,,,,,,,,
1400000US12011091701,,,,,,,,,,
1400000US12011091901,,,,,,,,,,
1400000US12011100104,,,,,,,,,,
1400000US12011100202,,,,,,,,,,
1400000US12011110301,,,,,,,,,,
1400000US12011110308,,,,,,,,,,
1400000US12011110323,,,,,,,,,,
1400000US12011110326,,,,,,,,,,
1400000US12011110330,,,,,,,,,,
1400000US12011110334,,,,,,,,,,
1400000US12011110338,,,,,,,,,,
1400000US12011110342,,,,,,,,,,
1400000US12011110501,,,,,,,,,,
1400000US12015010302,,,,,,,,,,
1400000US12015020101,,,,,,,,,,
1400000US12015020201,,,,,,,,,,
1400000US12015021001,,,,,,,,,,
1400000US12015030401,,,,,,,,,,
1400000US12017450201,,,,,,,,,,
1400000US12017450601,,,,,,,,,,
1400000US12013010300,,,,,,,,,,
1400000US12015010100,,,,,,,,,,
1400000US12011020412,,,,,,,,,,
1400000US12011020322,,,,,,,,,,
1400000US12017451101,,,,,,,,,,
1400000US12017451601,,,,,,,,,,
1400000US12019030801,,,,,,,,,,
1400000US12019031104,,,,,,,,,,
1400000US12019031108,,,,,,,,,,
1400000US12021000101,,,,,,,,,,
1400000US12021000302,,,,,,,,,,
1400000US12021000700,,,,,,,,,,
1400000US12021010109,,,,,,,,,,
1400000US12021010110,,,,,,,,,,
1400000US12021010211,,,,,,,,,,
1400000US12021010300,,,,,,,,,,
1400000US12021010410,,,,,,,,,,
1400000US12021010415,,,,,,,,,,
1400000US12021010419,,,,,,,,,,
1400000US12021010507,,,,,,,,,,
1400000US12021010602,,,,,,,,,,
1400000US12071040126,,,,,,,,,,
1400000US12011020413,,,,,,,,,,
